"type_name","team_name","selected_by","total_points","team_code","team_id","status","first_name","second_name","now_cost","value_form","value_season","points_per_game","ep_next","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","ea_index","bps","team"
"Defender","Burnley",5.9,35,90,3,"a","Michael","Duff",40,0,8.8,2.9,0,1065,0,0,4,20,0,0,0,2,0,0,4,122,189,3
"Defender","Burnley",0.4,57,90,3,"a","Jason","Shackell",45,0.3,12.7,2.2,1.3,2266,0,0,5,42,0,0,0,2,0,0,2,255,415,3
"Defender","Burnley",0.6,1,90,3,"i","Kevin","Long",39,0,0.3,1,0,20,0,0,0,1,0,0,0,0,0,0,0,1,4,3
"Defender","Burnley",0.5,1,90,3,"a","Daniel","Lafferty",39,0,0.3,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2,3,3
"Defender","Burnley",0.2,57,90,3,"a","Ben","Mee",45,0.6,12.7,2.7,2.8,1808,2,1,4,35,0,0,0,4,0,0,2,229,306,3
"Defender","Burnley",1.9,75,90,3,"a","Kieran","Trippier",48,0.6,15.6,2.9,2.8,2335,0,4,5,44,0,0,0,1,0,0,7,338,464,3
"Midfielder","Burnley",0.4,37,90,3,"i","Dean","Marney",44,0.1,8.4,1.9,0,1685,0,0,5,25,0,0,0,6,0,0,0,162,243,3
"Midfielder","Burnley",0.7,53,90,3,"a","David","Jones",45,0.4,11.8,2.2,2,2134,0,0,5,38,0,0,0,0,0,0,0,226,336,3
"Midfielder","Burnley",0.1,16,90,3,"a","Ross","Wallace",43,0.1,3.7,1.6,0.3,156,1,0,0,2,0,0,0,0,0,0,1,49,63,3
"Midfielder","Burnley",0.4,64,90,3,"a","Scott","Arfield",48,0.4,13.3,2.6,1.8,2122,2,2,4,42,0,0,1,4,0,0,2,202,216,3
"Midfielder","Burnley",0.1,28,90,3,"a","Michael","Kightly",45,0.2,6.2,2.2,0.8,792,1,2,0,19,0,0,0,3,0,0,0,110,85,3
"Midfielder","Burnley",0.1,10,90,3,"i","Matthew","Taylor",48,0,2.1,3.3,0,227,0,1,1,4,0,0,0,0,0,0,0,26,30,3
"Midfielder","Burnley",0.2,4,90,3,"a","Steven","Reid",42,0,1,0.8,0,108,0,0,0,3,0,0,0,1,0,0,0,14,22,3
"Forward","Burnley",7.8,103,90,3,"a","Danny","Ings",59,0.9,17.5,4.5,5.5,1956,9,4,3,38,0,0,0,4,0,0,14,330,343,3
"Forward","Burnley",0,6,90,3,"a","Sam","Vokes",53,0.1,1.1,1,0.8,79,0,0,0,1,0,0,0,0,0,0,0,8,17,3
"Forward","Burnley",1.3,68,90,3,"a","Ashley","Barnes",44,0.7,15.5,2.8,3.3,1584,5,1,2,30,0,0,0,4,0,0,8,195,194,3
"Forward","Burnley",0,11,90,3,"a","Marvin","Sordell",46,0,2.4,1,0,254,0,0,2,2,0,0,0,2,0,0,0,18,16,3
"Goalkeeper","Chelsea",1.7,32,8,4,"a","Petr","Cech",54,0.3,5.9,6.4,0,427,0,0,5,0,0,0,0,0,0,8,0,69,106,4
"Goalkeeper","Chelsea",8.3,76,8,4,"a","Thibaut","Courtois",59,0.3,12.9,3.5,0,1913,0,0,7,22,0,0,0,1,0,46,0,255,308,4
"Defender","Chelsea",12,83,8,4,"a","Gary","Cahill",63,0.2,13.2,3.5,0,1940,1,0,9,20,0,0,0,3,0,0,4,318,428,4
"Defender","Chelsea",19.4,120,8,4,"a","John","Terry",68,0.4,17.6,4.6,0,2340,3,0,12,22,1,0,0,0,0,0,9,423,592,4
"Defender","Chelsea",26.2,135,8,4,"a","Branislav","Ivanovic",74,0.8,18.2,5.2,0,2340,4,4,12,22,0,0,0,5,1,0,12,401,569,4
"Defender","Chelsea",6.9,86,8,4,"a","César","Azpilicueta",60,0.6,14.3,4.3,0,1671,0,3,9,17,0,0,0,1,1,0,11,299,435,4
"Defender","Chelsea",0.1,0,8,4,"a","Nathan","Aké",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Defender","Southampton",18.2,102,20,14,"a","Ryan","Bertrand",57,0,17.9,4.6,-0.3,1978,2,2,10,16,0,0,0,2,1,0,8,334,445,14
"Midfielder","Chelsea",0,0,8,4,"u","Josh","McEachran",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0.4,34,8,4,"a","Ramires","Santos do Nascimento",53,0.3,6.4,2.1,0,660,1,3,2,11,0,0,0,4,0,0,1,122,121,4
"Midfielder","Chelsea",0.5,22,8,4,"i","John Obi","Mikel",43,0.1,5.1,1.7,0,488,0,1,2,6,0,0,0,0,0,0,0,71,95,4
"Midfielder","Chelsea",0,0,8,4,"u","Lucas","Piazon",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",38.8,160,8,4,"a","Eden","Hazard",109,0.7,14.7,6.2,0,2296,9,7,14,20,0,0,0,1,0,0,29,670,670,4
"Midfielder","Chelsea",7.3,112,8,4,"a","Oscar","dos Santos Emboaba Junior",83,0.2,13.5,5.3,0,1646,6,7,12,11,0,0,0,4,0,0,12,425,414,4
"Midfielder","Chelsea",2.7,33,8,4,"u","André","Schürrle",71,0,4.6,2.4,0,436,3,0,2,6,0,0,0,2,0,0,1,128,103,4
"Midfielder","Chelsea",0,0,8,4,"u","Marco","van Ginkel",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0,0,8,4,"a","Isaiah","Brown",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0.6,79,8,4,"a","Willian","Borges Da Silva",77,0.6,10.3,3.2,0,1620,2,3,12,11,0,0,0,2,0,0,7,332,347,4
"Midfielder","Chelsea",3.7,66,8,4,"s","Nemanja","Matic",55,0.3,12,2.6,0,2229,1,2,12,20,0,0,0,7,1,0,3,417,446,4
"Midfielder","Chelsea",0.2,3,8,4,"u","Mohamed","Salah",60,0,0.5,1,0,33,0,0,0,3,0,0,0,0,0,0,0,1,5,4
"Midfielder","Chelsea",0,0,8,4,"n","Lewis","Baker",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0,0,8,4,"u","John","Swift",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Stoke",0.5,54,110,16,"a","Victor","Moses",52,0.7,10.4,3.6,3.5,1164,2,4,3,17,0,0,0,2,0,0,3,239,173,16
"Midfielder","Chelsea",32.6,122,8,4,"a","Cesc","Fàbregas",95,0.1,12.8,5.3,0,1958,2,15,10,19,0,0,0,8,0,0,20,522,586,4
"Forward","Chelsea",0.3,0,8,4,"u","Fernando","Torres",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Forward","Chelsea",0,0,8,4,"u","Demba","Ba",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Forward","Everton",7.4,94,11,6,"a","Romelu","Lukaku",88,0.5,10.7,3.6,4.8,2077,7,4,7,28,1,0,0,1,0,0,8,405,261,6
"Goalkeeper","Crystal Palace",2.6,84,31,5,"a","Julian","Speroni",48,0.7,17.5,3.2,3.5,2304,0,0,6,36,0,1,0,1,0,59,5,213,349,5
"Goalkeeper","Crystal Palace",0.2,1,31,5,"a","Wayne","Hennessey",44,0,0.2,1,0,36,0,0,0,1,0,0,0,0,0,0,0,2,4,5
"Defender","Crystal Palace",2.5,62,31,5,"a","Joel","Ward",47,0.6,13.2,2.4,2.8,2340,0,0,6,37,0,0,0,2,0,0,0,234,358,5
"Defender","Crystal Palace",0.5,43,31,5,"a","Damien","Delaney",49,0.6,8.8,2.3,3,1533,0,0,5,25,0,0,0,3,1,0,2,163,247,5
"Defender","Crystal Palace",0.4,0,31,5,"a","Patrick","McCarthy",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Defender","Crystal Palace",0,0,31,5,"u","Jack","Hunt",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Defender","Crystal Palace",0.1,24,31,5,"a","Adrian","Mariappa",43,0,5.6,2.4,0,750,0,0,3,11,0,0,0,2,0,0,0,68,107,5
"Defender","Crystal Palace",0.2,0,31,5,"n","Ryan","Inniss",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Defender","Crystal Palace",1.1,67,31,5,"a","Scott","Dann",49,0.2,13.7,3,1,1840,1,2,5,26,0,0,0,3,0,0,3,243,283,5
"Midfielder","Crystal Palace",0,7,31,5,"u","Barry","Bannan",47,0,1.5,1,0,138,0,0,0,3,0,0,0,1,0,0,0,21,28,5
"Midfielder","Crystal Palace",0.7,68,31,5,"a","Yannick","Bolasie",53,0.2,12.8,3.1,1.3,1743,1,6,4,28,0,0,0,2,0,0,2,245,186,5
"Midfielder","Crystal Palace",0,0,31,5,"u","Owen","Garvan",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",2.6,71,31,5,"a","Mile","Jedinak",50,0,14.2,3.9,0,1616,5,2,4,29,0,0,0,3,1,0,6,316,307,5
"Midfielder","Crystal Palace",0,2,31,5,"i","Jonathan","Williams",48,0,0.4,1,0,36,0,0,0,0,0,0,0,0,0,0,0,-3,12,5
"Midfielder","Crystal Palace",0,1,31,5,"i","Jerome","Thomas",44,0,0.2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,5
"Midfielder","Crystal Palace",4.8,77,31,5,"a","Jason","Puncheon",56,0.4,13.8,3.1,2.3,1843,3,4,5,30,0,0,0,5,1,0,8,300,271,5
